127.0.0.1 - - [20/Dec/2018:20:19:06 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:19:11 +0530] "GET /springSecurity/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:19:51 +0530] "GET /springSecurity/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:21:13 +0530] "POST /springSecurity/login HTTP/1.1" 500 4464
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:26:44 +0530] "GET /springSecurity/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:26:53 +0530] "GET /springSecurity/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:26:57 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:26:57 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:27:09 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:27:09 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:27:14 +0530] "GET /springSecurity/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:27:20 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:27:20 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:27:27 +0530] "POST /springSecurity/login HTTP/1.1" 500 4464
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:32:37 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:32:37 +0530] "GET /springSecurity/login?error HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:32:43 +0530] "GET /springSecurity/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:32:50 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:32:50 +0530] "GET /springSecurity/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:32:58 +0530] "GET /springSecurity/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:33:13 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:33:13 +0530] "GET /springSecurity/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:33:24 +0530] "GET /springSecurity/loin HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:33:31 +0530] "GET /springSecurity/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:33:58 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:33:58 +0530] "GET /springSecurity/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:34:12 +0530] "GET /springSecurity/admin HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:34:15 +0530] "GET /springSecurity/logout HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:34:27 +0530] "GET /springSecurity/login HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:35:51 +0530] "POST /springSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:35:51 +0530] "GET /springSecurity/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [20/Dec/2018:20:35:57 +0530] "GET /springSecurity/admin HTTP/1.1" 403 1014
